D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
6.4,0.96,0.5249814892840781,0.3726553905319276,0.8684114432416337,0.8425228896342123,0.731583228512054,0.34270889683877287,0.6250885742479305,0.9677974710867034,0.616375615693902,-0.17135444841938643,-0.31254428712396526,0.1348600598243335,0.0017274186469800963,0.0493701286638921
7.2,0.96,0.5085809159669752,0.3470601066349199,0.3844354407448856,0.8260804002391697,0.849891813134599,0.382126346693576,0.3252924325271383,0.7074187792207143,0.7020789691542232,-0.191063173346788,-0.16264621626356915,0.0881899572361337,0.0009584074930746074,0.0543924289529786
8.0,0.96,0.5340456108622648,0.360506328551625,0.351164564978343,0.8216129416667318,0.8602919843621317,0.39297173741326524,0.300966861314366,0.6939385987276312,0.7068270279640811,-0.19648586870663262,-0.150483430657183,0.08445432318854108,0.000890861265298227,0.0579949943143163
8.8,0.96,0.4659139786146119,0.3128373896455267,0.6407998223189196,0.8194198049501549,0.780678465556053,0.398317488195615,0.4951838194867298,0.8935013076823448,0.6397033959747271,-0.1991587440978075,-0.2475919097433649,0.12831275149409527,0.0016843679032036223,0.0457081664762049
9.6,0.96,0.4654103916929098,0.3110229149002349,0.7998543922778495,0.8174819187755571,0.7453861414369245,0.40305298832213854,0.5877057684511169,0.9907587567732554,0.6093396931305658,-0.20152649416106927,-0.29385288422555844,0.1474176742532588,0.0020172422618222304,0.041139381072228
10.4,0.96,0.4844721659189021,0.3229405197065204,0.7700606350624492,0.8164448510826823,0.7516331537279977,0.40559182384712983,0.5710138030964057,0.9766056269435355,0.6136670182642618,-0.20279591192356491,-0.28550690154820285,0.14505261666283095,0.00198087334981875,0.0443592616142651
11.2,0.96,0.5036498102811295,0.3353439264583454,0.7268562088186282,0.8159825760009441,0.760977667723072,0.4067245543720537,0.5463025350257,0.9530270893977537,0.6209445175878627,-0.20336227718602684,-0.27315126751285,0.14065751881204097,0.0019070913972716133,0.0459252715600724
12.0,0.96,0.5221458797888384,0.3475023405588132,0.6621247378961621,0.8157985693179002,0.7756542802194965,0.4071756116338726,0.508096746502707,0.9152723581365796,0.6327776520883709,-0.2035878058169363,-0.2540483732513535,0.13324068885851337,0.0017771169647966647,0.0457444387436584
12.8,0.96,0.4340749234581026,0.2840874118309545,0.7104687754784862,0.8089909185776928,0.7646143152761692,0.42393517495552135,0.5367674706524103,0.9607026456079316,0.6185660372729217,-0.21196758747776068,-0.26838373532620513,0.14352258500110135,0.0019703920506967745,0.0392926591888531
13.6,0.96,0.4287114397942616,0.2799012259607951,0.6115367722492894,0.8080158205257651,0.7877345429328516,0.42634728158820895,0.47718824065979626,0.9035355222480053,0.6365019730643766,-0.21317364079410447,-0.23859412032989813,0.13171948536529038,0.001757274340727934,0.0396209321162301
