beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.5,0.6,4.8,0.2,14.234321353385356,13.739247292265361,0.4950740611199951,0.035399542014723284,0.0
0.5,0.8,4.8,0.2,14.533506070924119,13.739247292265361,0.794258778658758,0.05620024415900517,0.0
0.75,0.2,4.8,0.2,13.625595328986496,13.739247292265361,-0.11365196327886551,-0.008306469605958437,0.0
0.75,0.3,4.8,0.2,13.687148429530687,13.739247292265361,-0.0520988627346739,-0.0037991813381838767,0.0
0.75,0.4,4.8,0.2,13.92247567336653,13.739247292265361,0.18322838110116813,0.013247986119704763,0.0
0.75,0.6,4.8,0.2,14.549197411224318,13.739247292265361,0.8099501189589571,0.057279328284209965,0.0
0.75,0.8,4.8,0.2,15.010303789361629,13.739247292265361,1.271056497096268,0.08848038150063128,0.0
1.0,0.2,4.8,0.2,13.625838597624139,13.739247292265361,-0.1134086946412225,-0.008288615966527605,0.0
1.0,0.3,4.8,0.2,13.70797259475747,13.739247292265361,-0.03127469750789125,-0.0022788982761627976,0.0
1.0,0.4,4.8,0.2,14.023116709162636,13.739247292265361,0.2838694168972751,0.02045065833435453,0.0
1.0,0.6,4.8,0.2,14.87103881214766,13.739247292265361,1.1317915198822988,0.07915911455369383,0.0
1.0,0.8,4.8,0.2,15.502743711627849,13.739247292265361,1.7634964193624878,0.12076051884225716,0.0
0.0,0.2,4.8,0.6,13.650464923447986,13.765096208939836,-0.11463128549184987,-0.008362546582374352,0.0
0.0,0.3,4.8,0.6,13.650464923447986,13.765096208939836,-0.11463128549184987,-0.008362546582374352,0.0
0.0,0.4,4.8,0.6,13.650464923447986,13.765096208939836,-0.11463128549184987,-0.008362546582374352,0.0
0.0,0.6,4.8,0.6,13.650464923447986,13.765096208939836,-0.11463128549184987,-0.008362546582374352,0.0
